state,week,aqi_mean,aqi_p90,aqi_max,days_reported,state_raw,state_norm,state_abbr
AL,2021-01-02,33.285714285714285,53.0,55,21,Alabama,Alabama,AL
AL,2021-01-09,42.246153846153845,56.0,63,65,Alabama,Alabama,AL
AL,2021-01-16,45.52238805970149,61.0,72,67,Alabama,Alabama,AL
AL,2021-01-23,39.5,59.2,67,60,Alabama,Alabama,AL
AL,2021-01-30,36.45762711864407,56.60000000000001,67,59,Alabama,Alabama,AL
AL,2021-02-06,36.53623188405797,54.400000000000006,69,69,Alabama,Alabama,AL
AL,2021-02-13,38.140625,56.0,73,64,Alabama,Alabama,AL
AL,2021-02-20,44.56666666666667,63.0,79,60,Alabama,Alabama,AL
AL,2021-02-27,48.6231884057971,65.0,83,69,Alabama,Alabama,AL
AL,2021-03-06,39.65555555555556,53.20000000000002,62,90,Alabama,Alabama,AL
AL,2021-03-13,58.54736842105263,77.60000000000001,142,95,Alabama,Alabama,AL
AL,2021-03-20,40.06315789473684,57.0,122,95,Alabama,Alabama,AL
AL,2021-03-27,44.702127659574465,59.0,74,94,Alabama,Alabama,AL
AL,2021-04-03,42.354838709677416,53.0,63,93,Alabama,Alabama,AL
AL,2021-04-10,50.5531914893617,66.4,85,94,Alabama,Alabama,AL
AL,2021-04-17,46.38709677419355,58.8,84,93,Alabama,Alabama,AL
AL,2021-04-24,47.10526315789474,58.0,84,95,Alabama,Alabama,AL
AL,2021-05-01,47.41237113402062,57.0,77,97,Alabama,Alabama,AL
AL,2021-05-08,42.354838709677416,55.0,71,93,Alabama,Alabama,AL
AL,2021-05-15,40.90425531914894,52.0,67,94,Alabama,Alabama,AL
AL,2021-05-22,48.02127659574468,58.0,77,94,Alabama,Alabama,AL
AL,2021-05-29,50.65263157894737,70.60000000000001,93,95,Alabama,Alabama,AL
AL,2021-06-05,40.50526315789474,55.0,74,95,Alabama,Alabama,AL
AL,2021-06-12,32.855670103092784,52.400000000000006,57,97,Alabama,Alabama,AL
AL,2021-06-19,53.48421052631579,72.80000000000003,101,95,Alabama,Alabama,AL
AL,2021-06-26,39.41935483870968,53.0,93,93,Alabama,Alabama,AL
AL,2021-07-03,33.11340206185567,51.0,62,97,Alabama,Alabama,AL
AL,2021-07-10,38.212765957446805,55.0,92,94,Alabama,Alabama,AL
AL,2021-07-17,37.787234042553195,56.0,74,94,Alabama,Alabama,AL
AL,2021-07-24,38.691489361702125,66.50000000000001,93,94,Alabama,Alabama,AL
AL,2021-07-31,53.215053763440864,69.8,105,93,Alabama,Alabama,AL
AL,2021-08-07,54.180851063829785,74.4,97,94,Alabama,Alabama,AL
AL,2021-08-14,50.06185567010309,68.20000000000002,189,97,Alabama,Alabama,AL
AL,2021-08-21,30.827956989247312,45.39999999999999,91,93,Alabama,Alabama,AL
AL,2021-08-28,43.536842105263155,57.60000000000001,129,95,Alabama,Alabama,AL
AL,2021-09-04,36.084210526315786,52.60000000000001,71,95,Alabama,Alabama,AL
AL,2021-09-11,42.83870967741935,57.0,70,93,Alabama,Alabama,AL
AL,2021-09-18,31.612903225806452,54.0,61,93,Alabama,Alabama,AL
AL,2021-09-25,32.52577319587629,44.400000000000006,60,97,Alabama,Alabama,AL
AL,2021-10-02,47.819148936170215,64.0,97,94,Alabama,Alabama,AL
AL,2021-10-09,34.58064516129032,52.599999999999994,80,93,Alabama,Alabama,AL
AL,2021-10-16,40.75257731958763,57.0,67,97,Alabama,Alabama,AL
AL,2021-10-23,40.42391304347826,55.0,65,92,Alabama,Alabama,AL
AL,2021-10-30,30.71276595744681,44.400000000000006,70,94,Alabama,Alabama,AL
AL,2021-11-06,38.166666666666664,52.0,57,66,Alabama,Alabama,AL
AL,2021-11-13,45.507936507936506,62.800000000000004,77,63,Alabama,Alabama,AL
AL,2021-11-20,44.65079365079365,59.800000000000004,69,63,Alabama,Alabama,AL
AL,2021-11-27,41.765625,54.7,62,64,Alabama,Alabama,AL
AL,2021-12-04,56.57627118644068,76.2,88,59,Alabama,Alabama,AL
AL,2021-12-11,38.6875,54.0,71,64,Alabama,Alabama,AL
AL,2021-12-18,41.053333333333335,57.0,70,75,Alabama,Alabama,AL
AL,2021-12-25,33.352112676056336,51.0,59,71,Alabama,Alabama,AL
AL,2022-01-01,35.098591549295776,49.0,55,71,Alabama,Alabama,AL
AL,2022-01-08,34.205479452054796,52.8,56,73,Alabama,Alabama,AL
AL,2022-01-15,38.0,57.0,73,71,Alabama,Alabama,AL
AL,2022-01-22,34.25714285714286,49.0,58,70,Alabama,Alabama,AL
AL,2022-01-29,44.4,58.0,68,75,Alabama,Alabama,AL
AL,2022-02-05,43.3235294117647,65.30000000000001,81,68,Alabama,Alabama,AL
AL,2022-02-12,50.49295774647887,63.0,85,71,Alabama,Alabama,AL
AL,2022-02-19,46.16216216216216,75.10000000000001,96,74,Alabama,Alabama,AL
AL,2022-02-26,38.51428571428571,56.0,67,70,Alabama,Alabama,AL
AL,2022-03-05,57.92045454545455,90.3,101,88,Alabama,Alabama,AL
AL,2022-03-12,37.208333333333336,52.5,66,96,Alabama,Alabama,AL
AL,2022-03-19,41.83695652173913,53.900000000000006,67,92,Alabama,Alabama,AL
AL,2022-03-26,45.41935483870968,55.0,84,93,Alabama,Alabama,AL
AL,2022-04-02,46.0625,58.0,90,96,Alabama,Alabama,AL
AL,2022-04-09,44.0531914893617,56.0,61,94,Alabama,Alabama,AL
AL,2022-04-16,44.07368421052632,58.0,80,95,Alabama,Alabama,AL
AL,2022-04-23,44.265957446808514,56.0,69,94,Alabama,Alabama,AL
AL,2022-04-30,47.88172043010753,59.599999999999994,93,93,Alabama,Alabama,AL
AL,2022-05-07,41.734042553191486,54.7,59,94,Alabama,Alabama,AL
AL,2022-05-14,48.30927835051546,67.0,84,97,Alabama,Alabama,AL
AL,2022-05-21,51.410526315789475,67.0,84,95,Alabama,Alabama,AL
AL,2022-05-28,36.44210526315789,51.0,62,95,Alabama,Alabama,AL
AL,2022-06-04,44.608247422680414,55.0,71,97,Alabama,Alabama,AL
AL,2022-06-11,43.71578947368421,54.60000000000001,74,95,Alabama,Alabama,AL
AL,2022-06-18,55.32631578947368,77.60000000000001,105,95,Alabama,Alabama,AL
AL,2022-06-25,58.618556701030926,77.0,105,97,Alabama,Alabama,AL
AL,2022-07-02,40.77894736842105,55.0,71,95,Alabama,Alabama,AL
AL,2022-07-09,38.82105263157895,53.0,70,95,Alabama,Alabama,AL
AL,2022-07-16,42.06382978723404,55.400000000000006,100,94,Alabama,Alabama,AL
AL,2022-07-23,40.170212765957444,55.0,64,94,Alabama,Alabama,AL
AL,2022-07-30,34.56382978723404,51.7,57,94,Alabama,Alabama,AL
AL,2022-08-06,35.350515463917525,51.400000000000006,55,97,Alabama,Alabama,AL
AL,2022-08-13,36.294736842105266,51.0,66,95,Alabama,Alabama,AL
AL,2022-08-20,44.1063829787234,57.0,64,94,Alabama,Alabama,AL
AL,2022-08-27,27.47422680412371,41.0,52,97,Alabama,Alabama,AL
AL,2022-09-03,39.276595744680854,52.0,87,94,Alabama,Alabama,AL
AL,2022-09-10,35.08510638297872,50.0,55,94,Alabama,Alabama,AL
AL,2022-09-17,42.824742268041234,56.0,64,97,Alabama,Alabama,AL
AL,2022-09-24,52.536842105263155,65.60000000000001,93,95,Alabama,Alabama,AL
AL,2022-10-01,41.01052631578948,54.0,61,95,Alabama,Alabama,AL
AL,2022-10-08,43.45744680851064,56.0,74,94,Alabama,Alabama,AL
AL,2022-10-15,44.204301075268816,57.0,66,93,Alabama,Alabama,AL
AL,2022-10-22,46.924731182795696,61.8,80,93,Alabama,Alabama,AL
AL,2022-10-29,43.31578947368421,62.20000000000002,71,95,Alabama,Alabama,AL
AL,2022-11-05,48.721518987341774,66.0,68,79,Alabama,Alabama,AL
AL,2022-11-12,40.15492957746479,54.0,58,71,Alabama,Alabama,AL
AL,2022-11-19,36.411764705882355,52.300000000000004,60,68,Alabama,Alabama,AL
AL,2022-11-26,47.15151515151515,63.0,111,66,Alabama,Alabama,AL
AL,2022-12-03,29.16417910447761,46.0,54,67,Alabama,Alabama,AL
AL,2022-12-10,39.89041095890411,56.8,66,73,Alabama,Alabama,AL
AL,2022-12-17,30.830985915492956,52.0,62,71,Alabama,Alabama,AL
AL,2022-12-24,27.92753623188406,52.0,56,69,Alabama,Alabama,AL
AL,2022-12-31,40.15714285714286,59.0,70,70,Alabama,Alabama,AL
AL,2023-01-07,37.91428571428571,57.0,67,70,Alabama,Alabama,AL
AL,2023-01-14,42.298701298701296,57.80000000000001,72,77,Alabama,Alabama,AL
AL,2023-01-21,37.53012048192771,55.0,68,83,Alabama,Alabama,AL
AL,2023-01-28,32.02469135802469,50.0,60,81,Alabama,Alabama,AL
AL,2023-02-04,32.9,54.10000000000001,60,80,Alabama,Alabama,AL
AL,2023-02-11,41.901234567901234,62.0,75,81,Alabama,Alabama,AL
AL,2023-02-18,36.0722891566265,54.0,75,83,Alabama,Alabama,AL
AL,2023-02-25,49.674418604651166,60.0,74,86,Alabama,Alabama,AL
AL,2023-03-04,51.340425531914896,73.0,98,94,Alabama,Alabama,AL
AL,2023-03-11,55.888888888888886,73.60000000000001,94,99,Alabama,Alabama,AL
AL,2023-03-18,44.27272727272727,60.0,109,99,Alabama,Alabama,AL
AL,2023-03-25,51.90816326530612,72.6,96,98,Alabama,Alabama,AL
AL,2023-04-01,49.183673469387756,59.599999999999994,78,98,Alabama,Alabama,AL
AL,2023-04-08,37.483870967741936,53.0,65,93,Alabama,Alabama,AL
AL,2023-04-15,45.74193548387097,63.19999999999999,89,93,Alabama,Alabama,AL
AL,2023-04-22,56.01075268817204,79.39999999999999,115,93,Alabama,Alabama,AL
AL,2023-04-29,44.958333333333336,58.0,74,96,Alabama,Alabama,AL
AL,2023-05-06,50.50515463917526,64.00000000000003,90,97,Alabama,Alabama,AL
AL,2023-05-13,46.54081632653061,60.0,70,98,Alabama,Alabama,AL
AL,2023-05-20,43.01,56.0,72,100,Alabama,Alabama,AL
AL,2023-05-27,57.61,71.0,93,100,Alabama,Alabama,AL
AL,2023-06-03,51.295918367346935,67.0,93,98,Alabama,Alabama,AL
AL,2023-06-10,70.44,100.0,140,100,Alabama,Alabama,AL
AL,2023-06-17,50.22222222222222,67.0,100,99,Alabama,Alabama,AL
AL,2023-06-24,46.68,63.300000000000026,105,100,Alabama,Alabama,AL
AL,2023-07-01,61.19191919191919,81.60000000000001,178,99,Alabama,Alabama,AL
AL,2023-07-08,43.66,59.0,85,100,Alabama,Alabama,AL
AL,2023-07-15,38.02,53.20000000000002,60,100,Alabama,Alabama,AL
AL,2023-07-22,50.0625,72.5,135,96,Alabama,Alabama,AL
AL,2023-07-29,61.13861386138614,68.0,255,101,Alabama,Alabama,AL
AL,2023-08-05,52.464646464646464,60.2,255,99,Alabama,Alabama,AL
AL,2023-08-12,38.770833333333336,53.0,66,96,Alabama,Alabama,AL
AL,2023-08-19,45.18181818181818,59.000000000000014,84,99,Alabama,Alabama,AL
AL,2023-08-26,60.01,72.20000000000002,126,100,Alabama,Alabama,AL
AL,2023-09-02,42.61,58.0,71,100,Alabama,Alabama,AL
AL,2023-09-09,45.08,61.0,82,100,Alabama,Alabama,AL
AL,2023-09-16,46.90816326530612,57.599999999999994,80,98,Alabama,Alabama,AL
AL,2023-09-23,51.69387755102041,61.0,101,98,Alabama,Alabama,AL
AL,2023-09-30,46.584158415841586,60.0,93,101,Alabama,Alabama,AL
AL,2023-10-07,48.36363636363637,68.60000000000001,86,99,Alabama,Alabama,AL
AL,2023-10-14,38.76767676767677,58.2,96,99,Alabama,Alabama,AL
AL,2023-10-21,35.7319587628866,50.80000000000001,92,97,Alabama,Alabama,AL
AL,2023-10-28,41.775510204081634,55.599999999999994,74,98,Alabama,Alabama,AL
AL,2023-11-04,34.674157303370784,55.2,91,89,Alabama,Alabama,AL
AL,2023-11-11,45.734939759036145,70.0,101,83,Alabama,Alabama,AL
AL,2023-11-18,36.888888888888886,54.0,71,81,Alabama,Alabama,AL
AL,2023-11-25,37.23456790123457,57.0,69,81,Alabama,Alabama,AL
AL,2023-12-02,36.2875,58.20000000000002,73,80,Alabama,Alabama,AL
AL,2023-12-09,33.96296296296296,56.0,84,81,Alabama,Alabama,AL
AL,2023-12-16,31.061728395061728,53.0,73,81,Alabama,Alabama,AL
AL,2023-12-23,38.370370370370374,61.0,78,81,Alabama,Alabama,AL
AL,2023-12-30,25.166666666666668,44.699999999999996,98,72,Alabama,Alabama,AL
AL,2024-01-06,40.43835616438356,60.0,79,73,Alabama,Alabama,AL
AL,2024-01-13,24.395061728395063,38.0,55,81,Alabama,Alabama,AL
AL,2024-01-20,32.2125,52.0,55,80,Alabama,Alabama,AL
AL,2024-01-27,28.544303797468356,52.0,59,79,Alabama,Alabama,AL
AL,2024-02-03,33.256410256410255,60.3,80,78,Alabama,Alabama,AL
AL,2024-02-10,39.52564102564103,58.3,77,78,Alabama,Alabama,AL
AL,2024-02-17,30.604938271604937,57.0,83,81,Alabama,Alabama,AL
AL,2024-02-24,44.426829268292686,74.9,98,82,Alabama,Alabama,AL
AL,2024-03-02,38.05882352941177,60.800000000000026,80,85,Alabama,Alabama,AL
AL,2024-03-09,32.55670103092783,46.400000000000006,57,97,Alabama,Alabama,AL
AL,2024-03-16,44.05940594059406,65.0,88,101,Alabama,Alabama,AL
AL,2024-03-23,50.03030303030303,69.4,125,99,Alabama,Alabama,AL
AL,2024-03-30,43.35,53.0,71,100,Alabama,Alabama,AL
AL,2024-04-06,43.54455445544554,55.0,67,101,Alabama,Alabama,AL
AL,2024-04-13,45.44444444444444,56.2,78,99,Alabama,Alabama,AL
AL,2024-04-20,46.63,58.20000000000002,72,100,Alabama,Alabama,AL
AL,2024-04-27,48.32,61.0,93,100,Alabama,Alabama,AL
AL,2024-05-04,43.58,56.0,74,100,Alabama,Alabama,AL
AL,2024-05-11,39.73,54.0,61,100,Alabama,Alabama,AL
AL,2024-05-18,41.62105263157895,52.60000000000001,80,95,Alabama,Alabama,AL
AL,2024-05-25,43.78,55.10000000000001,68,100,Alabama,Alabama,AL
AL,2024-06-01,45.93877551020408,58.0,74,98,Alabama,Alabama,AL
AL,2024-06-08,40.98969072164948,54.400000000000006,115,97,Alabama,Alabama,AL
AL,2024-06-15,51.67,64.0,119,100,Alabama,Alabama,AL
AL,2024-06-22,44.82828282828283,58.0,112,99,Alabama,Alabama,AL
