week,state,covid_admissions,influenza_admissions,rsv_admissions,total_respiratory_admissions
2025-10-04,AK,5.0,2.0,1.0,8.0
2025-10-11,AK,4.0,0.0,0.0,4.0
2025-10-18,AK,5.0,0.0,1.0,6.0
2025-10-25,AK,2.0,1.0,0.0,3.0
2025-11-01,AK,10.0,0.0,3.0,13.0
2025-11-08,AK,18.0,3.0,3.0,24.0
2025-11-15,AK,5.0,0.0,3.0,8.0
2025-11-22,AK,5.0,3.0,2.0,10.0
2025-11-29,AK,2.0,8.0,0.0,10.0
2025-12-06,AK,5.0,13.0,1.0,19.0
2025-12-13,AK,9.0,13.0,3.0,25.0
2025-12-20,AK,4.0,45.0,4.0,53.0
2025-12-27,AK,8.0,86.0,8.0,102.0
2026-01-03,AK,9.0,75.0,6.0,90.0
2026-01-10,AK,11.0,46.0,8.0,65.0
2026-01-17,AK,7.0,35.0,12.0,54.0
2026-01-24,AK,3.0,26.0,9.0,38.0
2026-01-31,AK,8.0,26.0,14.0,48.0
2025-10-04,AL,86.0,21.0,15.0,122.0
2025-10-11,AL,68.0,14.0,20.0,102.0
2025-10-18,AL,71.0,12.0,21.0,104.0
2025-10-25,AL,49.0,11.0,19.0,79.0
2025-11-01,AL,51.0,15.0,24.0,90.0
2025-11-08,AL,45.0,18.0,37.0,100.0
2025-11-15,AL,54.0,31.0,40.0,125.0
2025-11-22,AL,60.0,37.0,56.0,153.0
2025-11-29,AL,55.0,46.0,51.0,152.0
2025-12-06,AL,61.0,67.0,78.0,206.0
2025-12-13,AL,74.0,104.0,84.0,262.0
2025-12-20,AL,92.0,275.0,92.0,459.0
2025-12-27,AL,107.0,498.0,109.0,714.0
2026-01-03,AL,145.0,495.0,113.0,753.0
2026-01-10,AL,116.0,313.0,121.0,550.0
2026-01-17,AL,140.0,206.0,68.0,414.0
2026-01-24,AL,105.0,248.0,86.0,439.0
2026-01-31,AL,110.0,261.0,72.0,443.0
2020-10-03,AR,439.0,,,439.0
2020-10-10,AR,547.0,,,547.0
2020-10-17,AR,600.0,0.0,,600.0
2020-10-24,AR,602.0,4.0,,606.0
2020-10-31,AR,588.0,8.0,,596.0
2020-11-07,AR,663.0,14.0,,677.0
2020-11-14,AR,791.0,10.0,,801.0
2020-11-21,AR,916.0,6.0,,922.0
2020-11-28,AR,907.0,13.0,,920.0
2020-12-05,AR,981.0,6.0,,987.0
2020-12-12,AR,,12.0,,12.0
2020-12-19,AR,,11.0,,11.0
2020-12-26,AR,,9.0,,9.0
2021-01-02,AR,,20.0,,20.0
2021-01-09,AR,,20.0,,20.0
2021-01-16,AR,,17.0,,17.0
2021-01-23,AR,,13.0,,13.0
2021-01-30,AR,844.0,21.0,,865.0
2021-02-06,AR,741.0,9.0,,750.0
2021-02-13,AR,636.0,19.0,,655.0
2021-02-20,AR,439.0,16.0,,455.0
2021-02-27,AR,399.0,10.0,,409.0
2021-03-06,AR,253.0,10.0,,263.0
2021-03-13,AR,198.0,21.0,,219.0
2021-03-20,AR,213.0,13.0,,226.0
2021-03-27,AR,133.0,14.0,,147.0
2021-04-03,AR,133.0,11.0,,144.0
2021-04-10,AR,176.0,14.0,,190.0
2021-04-17,AR,170.0,16.0,,186.0
2021-04-24,AR,166.0,18.0,,184.0
2021-05-01,AR,202.0,15.0,,217.0
2021-05-08,AR,197.0,6.0,,203.0
2021-05-15,AR,180.0,6.0,,186.0
2021-05-22,AR,211.0,3.0,,214.0
2021-05-29,AR,205.0,1.0,,206.0
2021-06-05,AR,171.0,7.0,,178.0
2021-06-12,AR,201.0,1.0,,202.0
2021-06-19,AR,265.0,4.0,,269.0
2021-06-26,AR,334.0,4.0,,338.0
2021-07-03,AR,400.0,2.0,,402.0
2021-07-10,AR,586.0,1.0,,587.0
2021-07-17,AR,700.0,1.0,,701.0
2021-07-24,AR,893.0,1.0,,894.0
2021-07-31,AR,,0.0,,0.0
2021-08-07,AR,,3.0,,3.0
2021-08-14,AR,,2.0,,2.0
2021-08-21,AR,,3.0,,3.0
2021-08-28,AR,,5.0,,5.0
2021-09-04,AR,981.0,2.0,,983.0
2021-09-11,AR,861.0,0.0,,861.0
2021-09-18,AR,830.0,2.0,,832.0
2021-09-25,AR,704.0,3.0,,707.0
2021-10-02,AR,492.0,0.0,,492.0
2020-08-08,AS,,,,0.0
2020-08-15,AS,,,,0.0
2020-08-22,AS,,,,0.0
2020-08-29,AS,,,,0.0
2020-09-05,AS,,,,0.0
2020-09-12,AS,,,,0.0
2020-09-19,AS,,,,0.0
2020-09-26,AS,,,,0.0
2021-10-09,AS,0.0,0.0,,0.0
2021-10-16,AS,0.0,0.0,,0.0
2021-10-23,AS,0.0,0.0,,0.0
2021-10-30,AS,0.0,0.0,,0.0
2021-11-06,AS,0.0,0.0,,0.0
2021-11-13,AS,0.0,0.0,,0.0
2021-11-20,AS,0.0,0.0,,0.0
2021-11-27,AS,0.0,0.0,,0.0
2021-12-04,AS,0.0,0.0,,0.0
2021-12-11,AS,0.0,0.0,,0.0
2021-12-18,AS,0.0,0.0,,0.0
2021-12-25,AS,0.0,0.0,,0.0
2022-01-01,AS,0.0,0.0,,0.0
2022-01-08,AS,0.0,0.0,,0.0
2022-01-15,AS,0.0,0.0,,0.0
2022-01-22,AS,0.0,0.0,,0.0
2022-01-29,AS,0.0,0.0,,0.0
2022-02-05,AS,0.0,0.0,,0.0
2022-02-12,AS,0.0,0.0,,0.0
2022-02-19,AS,0.0,0.0,,0.0
2022-02-26,AS,1.0,0.0,,1.0
2022-03-05,AS,6.0,0.0,,6.0
2022-03-12,AS,4.0,0.0,,4.0
2022-03-19,AS,7.0,0.0,,7.0
2022-03-26,AS,12.0,0.0,,12.0
2022-04-02,AS,18.0,0.0,,18.0
