state,week,covid_admissions,influenza_admissions,rsv_admissions,total_respiratory_admissions,aqi_mean,aqi_p90,aqi_max,days_reported
AK,2025-10-04,5.0,2.0,1.0,8.0,20.0,24.4,26,3
AR,2021-01-02,,20.0,,20.0,21.705882352941178,31.200000000000003,35,17
AR,2021-01-09,,20.0,,20.0,34.07843137254902,42.0,50,51
AR,2021-01-16,,17.0,,17.0,42.03508771929825,57.0,73,57
AR,2021-01-23,,13.0,,13.0,35.11538461538461,46.9,55,52
AR,2021-01-30,844.0,21.0,,865.0,31.096153846153847,39.0,51,52
AR,2021-02-06,741.0,9.0,,750.0,40.285714285714285,54.0,67,56
AR,2021-02-13,636.0,19.0,,655.0,42.09615384615385,61.0,66,52
AR,2021-02-20,439.0,16.0,,455.0,43.265306122448976,55.0,59,49
AR,2021-02-27,399.0,10.0,,409.0,40.56603773584906,53.800000000000004,59,53
AR,2021-03-06,253.0,10.0,,263.0,38.90384615384615,49.8,83,52
AR,2021-03-13,198.0,21.0,,219.0,48.03846153846154,60.9,82,52
AR,2021-03-20,213.0,13.0,,226.0,43.945454545454545,54.6,100,55
AR,2021-03-27,133.0,14.0,,147.0,43.55769230769231,54.9,62,52
AR,2021-04-03,133.0,11.0,,144.0,44.63461538461539,56.0,81,52
AR,2021-04-10,176.0,14.0,,190.0,45.45614035087719,58.0,67,57
AR,2021-04-17,170.0,16.0,,186.0,41.98076923076923,54.0,67,52
AR,2021-04-24,166.0,18.0,,184.0,41.294117647058826,50.0,58,51
AR,2021-05-01,202.0,15.0,,217.0,44.98245614035088,55.0,61,57
AR,2021-05-08,197.0,6.0,,203.0,43.30769230769231,56.699999999999996,64,52
AR,2021-05-15,180.0,6.0,,186.0,38.11538461538461,50.8,55,52
AR,2021-05-22,211.0,3.0,,214.0,43.228070175438596,55.0,64,57
AR,2021-05-29,205.0,1.0,,206.0,38.44230769230769,54.9,59,52
AR,2021-06-05,171.0,7.0,,178.0,38.90384615384615,52.0,59,52
AR,2021-06-12,201.0,1.0,,202.0,38.35087719298246,56.4,66,57
